rotation x;rotation z;real x;real z
6.858666;359.2306;1.920426;-0.2198225
6.96387;359.1387;1.949884;-0.2460938
7.051849;359.0882;1.974518;-0.2605068
7.125045;359.0468;1.995013;-0.2723476
7.194366;359.0065;2.014423;-0.2838571
7.268556;358.9739;2.035196;-0.2931693
7.341618;358.9466;2.055653;-0.3009731
7.427555;358.9163;2.079715;-0.3096313
7.493971;358.8995;2.098312;-0.314427
7.562384;358.8854;2.117467;-0.3184553
7.650326;358.8807;2.142091;-0.3197894
7.712232;358.8791;2.159425;-0.3202602
7.781454;358.8843;2.178807;-0.3187692
7.852479;358.8938;2.198694;-0.3160488
7.91076;358.9105;2.215013;-0.311288
8.007071;358.9385;2.24198;-0.3032837
8.064425;358.9668;2.258039;-0.2951922
8.134509;358.9997;2.277663;-0.2857928
8.19226;359.0269;2.293833;-0.2780151
8.277771;359.0863;2.317776;-0.2610648
8.358644;359.1387;2.34042;-0.2460938
8.413811;359.1973;2.355867;-0.2293352
8.469618;359.2401;2.371493;-0.2171108
8.525566;359.3069;2.387159;-0.1980242
8.59391;359.3801;2.406295;-0.177124
8.652427;359.4612;2.422679;-0.1539394
8.744833;359.5793;2.448553;-0.1202131
8.8094;359.6739;2.466632;-0.09318325
8.891274;359.8122;2.489557;-0.05366734
8.98071;359.961;2.514599;-0.01113456
9.044707;0.07982101;2.532518;0.02280601
9.120605;0.2072394;2.55377;0.05921127
9.191581;0.3879829;2.573643;0.1108523
9.268995;0.5303674;2.595319;0.1515336
9.346014;0.7334728;2.616884;0.2095637
9.417069;0.8928717;2.63678;0.2551062
9.479606;1.060019;2.654289;0.3028625
9.536143;1.234869;2.67012;0.3528198
9.606382;1.420832;2.689787;0.405952
9.659695;1.610248;2.704715;0.460071
9.711331;1.807769;2.719173;0.5165054
9.784976;2.015377;2.739793;0.575822
9.852304;2.303775;2.758645;0.6582214
9.913224;2.529236;2.775703;0.722639
9.984492;2.7667;2.795658;0.7904858
9.988503;2.775697;2.796781;0.7930564
10.06984;2.591456;2.819555;0.7404161
10.13773;2.36775;2.838564;0.6765
10.2005;2.265968;2.85614;0.6474196
10.27225;2.079715;2.876231;0.5942042
10.3325;1.99389;2.893101;0.5696828
10.38461;1.876134;2.90769;0.5360382
10.43311;1.804997;2.921271;0.5157135
10.48623;1.737768;2.936144;0.4965051
10.54413;1.650313;2.952355;0.4715179
10.61945;1.571998;2.973447;0.4491422
10.68381;1.503919;2.991466;0.4296912
10.7505;1.447331;3.010139;0.4135233
10.80827;1.398982;3.026316;0.3997091
10.85907;1.376397;3.04054;0.3932563
10.92216;1.355651;3.058205;0.3873288
10.98397;1.333363;3.075512;0.3809609
11.05618;1.320144;3.095731;0.377184
11.11591;1.315686;3.112455;0.3759104
11.16654;1.321214;3.126631;0.3774896
11.21166;1.328249;3.139265;0.3794996
11.28282;1.346505;3.159189;0.3847157
11.35236;1.366147;3.178661;0.3903277
11.40482;1.400826;3.19335;0.400236
11.45861;1.428563;3.20841;0.4081608
11.51696;1.460355;3.224747;0.4172443
11.57875;1.513984;3.242051;0.4325668
11.637;1.55645;3.25836;0.4447002
11.69105;1.602993;3.273493;0.4579979
11.74886;1.676525;3.28968;0.4790072
11.79696;1.705167;3.303149;0.4871907
11.85322;1.787971;3.3189;0.5108488
11.91175;1.853006;3.33529;0.5294302
11.96844;1.91819;3.351162;0.5480542
12.02421;2.027569;3.36678;0.5793055
12.07483;2.101965;3.380954;0.6005614
12.12233;2.143958;3.394252;0.6125594
12.17513;2.268302;3.409037;0.6480864
12.23488;2.35766;3.425768;0.6736172
12.301;2.497178;3.444279;0.7134793
12.35671;2.593647;3.459878;0.7410422
12.40261;2.698109;3.472731;0.7708884
12.45182;2.804401;3.48651;0.8012575
12.5114;2.914978;3.503192;0.8328508
12.56271;3.031394;3.51756;0.8661125
12.6243;3.212507;3.534804;0.9178593
12.68444;3.339437;3.551643;0.9541247
12.74491;3.536049;3.568575;1.0103
12.80858;3.675396;3.586401;1.050113
12.85626;3.816652;3.599754;1.090472
12.90926;3.965527;3.614593;1.133008
12.95995;4.115514;3.628787;1.175861
12.99903;4.274143;3.639729;1.221184
13.0347;4.352833;3.649716;1.243667
13.06006;4.435716;3.656818;1.267347
13.08311;4.603417;3.663272;1.315262
13.11196;4.685834;3.67135;1.33881
13.14656;4.775581;3.681037;1.364452
13.18559;4.954182;3.691965;1.415481
13.23154;5.1347;3.704832;1.467057
13.27069;5.229037;3.715793;1.494011
13.31621;5.422767;3.72854;1.549362
13.35263;5.619501;3.738737;1.605572
13.39476;5.822563;3.750533;1.663589
13.42967;6.031246;3.760308;1.723213
13.47204;6.247052;3.772171;1.784872
13.51149;6.361077;3.783216;1.817451
13.5495;6.585814;3.79386;1.881661
13.58693;6.817292;3.804341;1.947798
13.61998;6.937046;3.813594;1.982013
13.66095;7.178479;3.825067;2.050994
13.69376;7.431074;3.834253;2.123164
13.73501;7.68672;3.845804;2.196206
13.76608;7.817042;3.854504;2.233441
13.79894;8.084809;3.863704;2.309946
13.83009;8.363207;3.872425;2.389488
13.86066;8.500875;3.880984;2.428822
13.89657;8.794084;3.891041;2.512595
13.92316;9.087201;3.898484;2.596343
13.9556;9.393723;3.907568;2.683921
13.9894;9.551637;3.917033;2.729039
14.04721;10.19698;3.933218;2.913422
14.07041;10.53546;3.939714;3.010132
14.08007;10.70966;3.942419;3.059902
14.10643;10.88451;3.949801;3.10986
14.13256;11.2435;3.957117;3.21243
14.15739;11.60999;3.964071;3.317139
14.17528;11.98953;3.969079;3.425579
14.20274;12.38059;3.976767;3.537313
14.23215;12.5828;3.985001;3.595085
